location,part_a,part_b,part_c,part_d,part_f,adap
AL,0,20126410,2818599,1773127,0,10644138
AR,0,8467112,1076459,924967,0,4608737
AZ,11049463,23288337,2050831,680985,0,12568835
CA,104115041,149165063,17131490,5985229,2844527,102403026
CO,7340580,16541114,1484856,1076633,300000,9366392
FL,77938779,126347623,10524417,6993503,235307,83961054
GA,32339493,74262504,10129996,1927924,40126,40418642
IL,27666573,43632706,7200734,2848918,282395,27889144
IN,4910030,23065578,1308095,0,0,8932984
KY,0,10928564,2791614,1580108,428509,5727028
LA,12609838,27721486,5443367,3078348,0,16539752
MA,15183838,23950267,6571200,1909518,1269889,14560264
MD,15660695,34376606,2543587,1354120,0,23214378
MI,10075549,23695500,2817855,1676383,46638,12974848
MN,6129008,15446690,482143,562092,148342,6355013
MO,10901754,15927667,2150334,1798823,5620,9928347
MS,0,14300320,3026220,587231,264182,7626671
NC,6913452,44994311,7010617,4048811,20612,23531180
NJ,23796723,45432268,4636247,2000640,639203,26444919
NV,7551492,12824768,1410577,607114,0,7464875
NY,95315759,133763070,19704890,9182708,5270257,87940403
OH,9779061,25253858,3917812,896185,80,17018819
OK,0,8925094,1723187,534587,0,5012642
PA,22766093,41565377,9979711,3635879,215124,25207212
SC,0,25101893,5628493,1196995,0,13305699
TN,11346342,27766419,2573041,1152061,0,13895752
TX,66214234,126490442,9272848,5473717,436477,74029195
VA,5990787,29705889,2982674,910867,0,17869479
WA,7189780,24313589,1019983,434758,0,9889713
WI,0,16015895,2310834,922890,0,4700054
DC,32044482,17683176,2070775,0,0,10352623
