location,diagnosed_hiv_weighted_urbanicity,medicaid_expansion
AL,0.68167239,FALSE
AR,0.65138290,TRUE
AZ,0.92027478,TRUE
CA,0.96388131,TRUE
CO,0.92313908,TRUE
FL,0.94286205,FALSE
GA,0.86601134,FALSE
IL,0.95836241,TRUE
IN,0.84587103,TRUE
KY,0.81596902,TRUE
LA,0.80043301,TRUE
MA,0.93350780,TRUE
MD,0.93251015,TRUE
MI,0.85801434,TRUE
MN,0.88522067,TRUE
MO,0.85843365,TRUE
MS,0.54314696,FALSE
NC,0.75092691,TRUE
NJ,0.96214890,TRUE
NV,0.97381367,TRUE
NY,0.96021771,TRUE
OH,0.88723865,TRUE
OK,0.77119068,TRUE
PA,0.89190356,TRUE
SC,0.68405985,FALSE
TN,0.82144249,FALSE
TX,0.90415549,FALSE
VA,0.85682942,TRUE
WA,0.88757946,TRUE
WI,0.83308371,FALSE
DC,1.00000000,TRUE
